lensid,MJD,filter,RA,RA_err,DEC,DEC_err,x,x_com_err,y,y_com_err,flux,flux_err,size,size_err,e1,e2,psf_sigma,sky
5174697,59823.286523,g,0,0,0,0,0.528833668164,0,-0.205086745468,0,6.87378134733,0.035493464742879,1.36737188493,0,0.08916387707,-0.302279502153,1.093153,24.377204
38933261,59823.286523,g,0,0,0,0,-0.186288461241,0,0.607003693732,0,219.153119891,0.035493464742879,1.26040962367,0,0.0161649510264,-0.173031926155,1.093153,24.377204
5976939,59823.286523,g,0,0,0,0,-0.0667768514375,0,0.487385383569,0,4.72511153945,0.035493464742879,1.23577652341,0,-0.115906693041,-0.120316900313,1.093153,24.377204
2535585,59823.286523,g,0,0,0,0,0.292391817177,0,0.510661422109,0,10.3326391639,0.035493464742879,1.27136563653,0,0.0384117476642,-0.0278428569436,1.093153,24.377204
13152642,59823.307264,g,0,0,0,0,-0.0100240456482,0,0.0106337341338,0,0.939099643846,0.03846636920182047,1.32416298919,0,0.0149622559547,0.0473137795925,1.23193,24.289872
28927224,59823.307264,g,0,0,0,0,0.444217140172,0,0.134868629396,0,2.36042112687,0.03846636920182047,1.31168117658,0,0.019138161093,-0.0104490304366,1.23193,24.289872
24573293,59823.307264,g,0,0,0,0,0.0239956644117,0,-0.234450993839,0,1.42536687854,0.03846636920182047,1.39079860558,0,-0.121998935938,0.0294216815382,1.23193,24.289872
120117,59823.307264,g,0,0,0,0,0.0944092358958,0,0.108405688818,0,207.65259411,0.03846636920182047,1.28466317175,0,0.00304186576977,-0.0122966812924,1.23193,24.289872
30737083,59823.307264,g,0,0,0,0,-0.135585985665,0,-0.00221229646253,0,16.8575920198,0.03846636920182047,1.43874110346,0,-0.131765931845,0.176593229175,1.23193,24.289872
35762883,59823.307264,g,0,0,0,0,0.0148009438931,0,0.341570301066,0,6.96458916764,0.03846636920182047,1.30745657903,0,-0.014479432255,-0.0136708775535,1.23193,24.289872
409363,59823.307264,g,0,0,0,0,-0.2402754471,0,-0.0855804878475,0,116.329219652,0.03846636920182047,1.55341954839,0,0.205850094557,0.308757692575,1.23193,24.289872
19707312,59823.307264,g,0,0,0,0,0.615189041139,0,-0.254859229011,0,3.36789332123,0.03846636920182047,1.33566994134,0,0.0256976895034,-0.0547705776989,1.23193,24.289872
4786161,59823.307264,g,0,0,0,0,-0.0371401977402,0,-0.0844382964177,0,6.37693526316,0.03846636920182047,1.33278012265,0,-0.0464354492724,0.0263176392764,1.23193,24.289872
8238505,59823.307264,g,0,0,0,0,0.300376468004,0,-0.0708535693195,0,7.93248768053,0.03846636920182047,1.3868427186,0,-0.0059269554913,0.0245606806129,1.23193,24.289872
49161272,59823.307264,g,0,0,0,0,0.191905834679,0,-0.557369146869,0,11.3048054165,0.03846636920182047,1.33196274219,0,-0.0344027243555,-0.0174759812653,1.23193,24.289872
5174697,59823.307264,g,0,0,0,0,0.546641408178,0,-0.217503492096,0,6.87717360567,0.03846636920182047,1.4972920008,0,0.0745040774345,-0.252493679523,1.23193,24.289872
38933261,59823.307264,g,0,0,0,0,-0.183510119418,0,0.605614400073,0,220.144453935,0.03846636920182047,1.36655047973,0,0.0129473907873,-0.138563156128,1.23193,24.289872
5976939,59823.307264,g,0,0,0,0,-0.0685149087573,0,0.488953231942,0,4.68979147913,0.03846636920182047,1.37857831171,0,-0.0927133187652,-0.0962371975183,1.23193,24.289872
2535585,59823.307264,g,0,0,0,0,0.29325424324,0,0.505995301677,0,10.3172099172,0.03846636920182047,1.40550516101,0,0.0309404507279,-0.0227896720171,1.23193,24.289872
13152642,59823.418685,z,0,0,0,0,0.0482232369143,0,0.0568008947526,0,40.433428871,0.3400976222783566,0.9772456369,0,0.0141460523009,0.0451669767499,0.908511,21.923566
28927224,59823.418685,z,0,0,0,0,0.162359597141,0,0.107440315759,0,18.1653541155,0.3400976222783566,0.964003361398,0,0.0165437832475,-0.00151440559421,0.908511,21.923566
