obsHistID,expMJD,filter,FWHMeff,fiveSigmaDepth
2412961,63168.145756,y,0.858799,21.644572
2414735,63170.243352,z,0.836751,22.227443
2414774,63170.263096,z,0.842285,22.221023
2421698,63188.172748,i,0.964629,23.613157
2421764,63188.204176,i,0.9663,23.609814
2423655,63191.066192,r,1.111643,23.850872
2425000,63193.022712,z,0.975842,21.814278
2425035,63193.039572,z,0.925623,22.570716
2427470,63196.173577,y,0.883697,21.640569
2428018,63197.080837,y,0.719591,21.844841
2430798,63201.044678,z,0.842717,22.651209
2430843,63201.067521,z,0.807649,22.690272
2432446,63204.173004,r,0.768656,24.162181
2432472,63204.184802,r,0.77491,24.12384
2437926,63213.150191,i,0.882907,23.702038
2437959,63213.168341,i,0.894253,23.67737
2441332,63219.156278,g,0.778232,24.790301
2441364,63219.171699,g,0.792757,24.79136
2441817,63220.059298,r,1.226363,23.849111
2447509,63229.170251,y,0.784904,21.740602
2447515,63229.172944,y,0.789059,21.733021
